neuron,category,formula,threshold
0,((object-X OR object-X OR object-X OR object-X OR object-X) CLOSE TO (object-X AND NOT (object-X OR object OR object-X OR object))),((counter-X OR work surface-X OR bar-X OR kitchen island-X OR stove-X) CLOSE TO (wall-X AND NOT (work surface-X OR counter OR stove-X OR bar))),5.1
1,(((part-X CLOSE object) OR scene OR scene OR scene OR scene OR scene OR object OR scene) AND NOT scene),(((shop window-X CLOSE building) OR pantry-s OR liquor store-outdoor-s OR toyshop-s OR gift shop-s OR shoe shop-s OR trade name OR convenience store-outdoor-s) AND NOT restaurant patio-s),5.0
2,(((object-X CLOSE TO color-X) OR scene OR object-X OR object-X OR scene OR scene OR scene) CLOSE TO (color-X OR scene)),(((sea-X CLOSE TO green-c-X) OR marsh-s OR lake-X OR island-X OR bayou-s OR bog-s OR golf course-s) CLOSE TO (blue-c-X OR marsh-s)),4.6
3,(((scene OR object-X) CLOSE object-X) OR scene OR scene OR object-X OR scene),(((auditorium-s OR silver screen-X) CLOSE wall-X) OR theater-indoor procenium-s OR movie theater-indoor-s OR blackboard-X OR conference center-s),4.6
4,(((scene OR object-X) CLOSE object) OR part-X OR scene OR scene OR object),(((dining room-s OR wall-X) CLOSE chandelier) OR column-X OR courthouse-s OR throne room-s OR bandstand),5.4
5,(((object-X OR scene OR scene OR object-X OR object-X OR scene OR object OR object-X) AND NOT object) OR object-X),(((toilet-X OR slum-s OR pantry-s OR rubbish-X OR box-X OR bazaar-outdoor-s OR washer OR plaything-X) AND NOT pedestal) OR apparel-X),4.4
6,(scene OR object-X OR object-X OR object-X OR object-X OR scene OR scene OR scene OR object OR object),(gazebo-exterior-s OR tent-X OR dome-X OR big top-X OR island-X OR hut-s OR butte-s OR mausoleum-s OR greenhouse OR bandstand),4.8
7,(object-X OR scene OR scene OR scene),(vineyard-X OR orchard-s OR corn field-s OR vineyard-s),3.7
8,(((object-X CLOSE TO object-X) OR scene OR object OR object-X OR object-X OR scene OR object OR scene) CLOSE TO color),(((plant-X CLOSE TO wall-X) OR greenhouse-indoor-s OR greenhouse OR vineyard-X OR leaves-X OR vegetable garden-s OR flower OR corn field-s) CLOSE TO green-c),4.6
9,((((((object AND color) OR scene OR object-X) AND NOT color-X) OR scene) AND NOT scene) OR scene),((((((grass AND green-c) OR ball pit-s OR plaything-X) AND NOT yellow-c-X) OR kindergarden classroom-s) AND NOT pasture-s) OR ball pit-s),4.4
10,((((scene CLOSE object) OR scene) CLOSE TO ((object-X AND NOT object-X) OR object-X)) WITH ((color-X OR object-X OR object-X) AND NOT color-X)),((((highway-s CLOSE road) OR field-cultivated-s) CLOSE TO ((sky-X AND NOT road-X) OR mountain-X)) WITH ((blue-c-X OR field-X OR earth-X) AND NOT grey-c-X)),4.4
11,((((object AND color-X) OR scene OR object-X OR scene OR scene) CLOSE (object OR scene OR object-X)) AND NOT part-X),((((person AND black-c-X) OR booth-indoor-s OR flower-X OR gas station-s OR market-outdoor-s) CLOSE (person OR airport ticket counter-s OR van-X)) AND NOT head-X),3.5
12,(((((scene CLOSE object) OR scene OR object-X OR scene OR scene) AND NOT material) OR scene OR object-X) AND NOT object-X),(((((dining room-s CLOSE table) OR fire escape-s OR altar-X OR catacomb-s OR throne room-s) AND NOT carpet) OR waterfall-fan-s OR altarpiece-X) AND NOT rock-X),4.1
13,(scene OR object-X OR scene OR object-X OR scene OR scene OR object-X OR scene OR object-X OR scene),(islet-s OR canopy-X OR cavern-indoor-s OR carousel-X OR rope bridge-s OR catacomb-s OR altarpiece-X OR bedchamber-s OR niche-X OR bayou-s),4.1
14,(object-X OR scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR object),(fence-X OR boxing ring-s OR bleachers-indoor-s OR bench OR wrestling ring-indoor-s OR military hut-s OR corral-s OR bakery-kitchen-s OR bleachers-outdoor-s OR hovel),5.2
15,((((scene OR scene OR object-X OR scene OR object-X) CLOSE TO ((object-X AND NOT object) OR scene)) OR object-X) WITH object-X),((((operating room-s OR hospital room-s OR cradle-X OR dentists office-s OR equipment-X) CLOSE TO ((wall-X AND NOT cradle) OR operating room-s)) OR stretcher-X) WITH wall-X),5.4
16,(object-X OR object-X OR object-X OR scene OR scene OR scene OR part-X OR scene OR scene OR scene),(court-X OR windmill-X OR ring-X OR ice skating rink-indoor-s OR martial arts gym-s OR hangar-indoor-s OR fire escape-X OR basketball court-indoor-s OR subway station-corridor-s OR boxing ring-s),3.9
17,(((((((scene OR scene) CLOSE object-X) OR scene OR object-X) AND NOT object-X) OR object) AND NOT object) CLOSE (object-X OR object-X)),(((((((conference room-s OR auditorium-s) CLOSE ceiling-X) OR conference center-s OR stage-X) AND NOT ceiling-X) OR silver screen) AND NOT wall) CLOSE (wall-X OR curtain-X)),5.3
18,(((scene OR scene OR object OR scene OR object OR object-X OR scene OR object) AND NOT color) OR object),(((badlands-s OR forest-needleleaf-s OR slot machine OR junkyard-s OR arcade machine OR semidesert ground-X OR car interior-backseat-s OR animal) AND NOT green-c) OR tent),4.3
19,((((object-X OR scene OR material-X) AND NOT scene) OR object-X OR scene OR scene OR object-X) AND NOT (object-X OR scene)),((((case-X OR bakery-shop-s OR food-X) AND NOT supermarket-s) OR island-X OR bakery-kitchen-s OR butchers shop-s OR fruit-X) AND NOT (pedestal-X OR kitchen-s)),4.3
20,(((((object OR part-X) WITH object-X) OR scene OR object-X OR scene OR scene) CLOSE TO (color OR object)) OR scene),(((((house OR roof-X) WITH tree-X) OR zen garden-s OR swimming pool-X OR motel-s OR barnyard-s) CLOSE TO (black-c OR building)) OR hunting lodge-outdoor-s),4.4
21,(((object-X OR scene OR scene OR part-X) AND NOT object-X) OR scene OR object-X OR scene OR object OR scene),(((bookcase-X OR fire station-s OR videostore-s OR garage door-X) AND NOT pedestal-X) OR library-indoor-s OR exhibitor-X OR bookstore-s OR videos OR convenience store-indoor-s),4.3
22,(object-X OR scene OR scene OR scene OR object OR scene OR scene OR scene),(bridge-X OR river-s OR rope bridge-s OR creek-s OR aqueduct OR mountain path-s OR sandbar-s OR forest path-s),5.4
23,((((scene CLOSE object-X) OR scene OR scene OR object-X) CLOSE TO object) OR object-X OR part-X),((((kitchen-s CLOSE oven-X) OR galley-s OR youth hostel-s OR microwave-X) CLOSE TO wall) OR telephone booth-X OR fire escape-X),5.2
24,((((((object-X OR object-X) AND NOT object) CLOSE (object-X OR object OR object-X)) AND NOT object-X) OR object) CLOSE TO (object OR object)),((((((fireplace-X OR kitchen island-X) AND NOT wall) CLOSE (wall-X OR windowpane OR door-X)) AND NOT kitchen island-X) OR buffet) CLOSE TO (wall OR painting)),6.8
