neuron,category,formula,threshold
0,((((object-X OR object-X OR object OR object-X OR object) CLOSE TO (color-X OR object-X)) OR object) AND NOT (object-X OR object-X)),((((counter-X OR bar-X OR work surface OR stove-X OR kitchen island) CLOSE TO (brown-c-X OR work surface-X)) OR ticket counter) AND NOT (oven-X OR table-X)),5.1
1,(((object CLOSE TO part-X) OR object OR object OR object-X OR object OR object-X) AND NOT (scene OR object-X)),(((building CLOSE TO shop window-X) OR pantry OR exhibitor OR plaything-X OR booth OR display window-X) AND NOT (restaurant patio-s OR box-X)),5.0
2,((((object-X OR object-X) CLOSE TO color) OR object-X OR object-X OR object) CLOSE TO ((color-X OR scene) AND NOT (object-X OR object-X))),((((sea-X OR river-X) CLOSE TO green-c) OR lake-X OR water-X OR flower) CLOSE TO ((blue-c-X OR marsh-s) AND NOT (water-X OR river-X))),4.6
3,((((object-X OR object-X) CLOSE (object-X OR object-X OR object-X)) OR object-X OR object OR object-X) CLOSE TO (object OR object)),((((silver screen-X OR stage-X) CLOSE (wall-X OR seat-X OR chair-X)) OR blackboard-X OR cradle OR crt screen-X) CLOSE TO (wall OR curtain)),4.6
4,((((object CLOSE TO part-X) OR object-X OR scene OR part-X) CLOSE (object-X OR part OR object-X OR object)) OR object),((((building CLOSE TO column-X) OR chandelier-X OR courthouse-s OR shaft-X) CLOSE (wall-X OR column OR windowpane-X OR door)) OR bandstand),5.4
5,((object-X OR object-X OR object-X OR object OR object-X OR object-X OR object OR object OR object-X) AND NOT object),((toilet-X OR box-X OR rubbish-X OR washer OR shanties-X OR plaything-X OR pantry OR bucket OR bowl-X) AND NOT pedestal),4.4
6,(object OR object-X OR object-X OR object OR object-X OR object OR object OR object OR object),(tent OR bandstand-X OR dome-X OR big top OR island-X OR hovel OR greenhouse OR iceberg OR mosque),4.8
7,(((object-X OR scene OR scene) CLOSE TO ((((color AND NOT object) OR object-X) AND NOT object) OR object)) OR object OR object-X),(((vineyard-X OR orchard-s OR corn field-s) CLOSE TO ((((green-c AND NOT tree) OR earth-X) AND NOT field) OR plant)) OR barrels OR vineyard-X),3.7
8,((((object OR object) CLOSE TO object-X) OR object OR object-X OR object-X) AND NOT (scene OR object-X)),((((plant OR flower) CLOSE TO wall-X) OR greenhouse OR vineyard-X OR leaves-X) AND NOT (vegetable garden-s OR fence-X)),4.6
9,((((((object OR object-X) AND color) OR object OR object) AND NOT color-X) OR object) AND NOT (object-X OR scene)),((((((grass OR plaything-X) AND green-c) OR ball OR plaything) AND NOT yellow-c-X) OR fruit) AND NOT (fence-X OR kindergarden classroom-s)),4.4
10,(((scene AND object-X) OR object OR object-X OR object) CLOSE TO (((color-X AND NOT object-X) OR object) AND NOT (object-X OR object-X))),(((highway-s AND road-X) OR field OR semidesert ground-X OR desert) CLOSE TO (((blue-c-X AND NOT road-X) OR mountain) AND NOT (field-X OR semidesert ground-X))),4.4
11,(((((object AND color-X) OR object-X OR scene) AND NOT part-X) CLOSE (((object OR scene) AND NOT part-X) OR object-X)) OR part-X),(((((person AND black-c-X) OR flower-X OR gas station-s) AND NOT head-X) CLOSE (((person OR booth-indoor-s) AND NOT head-X) OR fruit-X)) OR torso-X),3.5
12,((object-X AND scene) OR part-X OR object-X OR object OR object),((table-X AND dining room-s) OR fire escape-X OR altar-X OR porch OR shelter),4.1
13,(((object-X OR object) CLOSE object-X) OR object-X OR object-X OR object-X OR object OR scene OR object-X OR object),(((rock-X OR mountain) CLOSE sea-X) OR canopy-X OR niche-X OR island-X OR carousel OR cavern-indoor-s OR altar-X OR altarpiece),4.1
14,((object-X OR object OR object-X OR object OR object OR object OR object-X) AND NOT object-X),((fence-X OR grandstand OR ring-X OR bench OR hovel OR horse OR cow-X) AND NOT bridge-X),5.2
15,((((((object-X OR object-X OR scene) AND NOT part-X) OR scene) AND NOT object-X) OR object-X) CLOSE TO (object-X AND NOT (object-X OR object))),((((((bed-X OR cradle-X OR operating room-s) AND NOT headboard-X) OR hospital room-s) AND NOT cushion-X) OR equipment-X) CLOSE TO (wall-X AND NOT (bed-X OR cradle))),5.4
16,((object-X OR object-X OR object-X OR part-X OR object-X OR scene OR scene OR object-X) AND NOT (object-X OR object-X)),((windmill-X OR court-X OR ring-X OR fire escape-X OR tennis court-X OR hangar-indoor-s OR martial arts gym-s OR ice rink-X) AND NOT (runway-X OR painting-X)),3.9
17,((((scene AND object-X) CLOSE TO object) OR object-X OR object-X OR scene OR scene) CLOSE TO (object-X AND NOT (object OR object))),((((conference room-s AND wall-X) CLOSE TO table) OR stage-X OR silver screen-X OR auditorium-s OR conference center-s) CLOSE TO (wall-X AND NOT (chair OR seat))),5.3
18,(((object OR object OR object OR object OR object OR object-X) AND NOT object) OR object OR part-X OR object-X),(((car OR badlands OR slot machine OR arcade machine OR tent OR cow-X) AND NOT car) OR animal OR windshield-X OR semidesert ground-X),4.3
19,((((object-X OR material-X OR object-X OR object-X OR object-X OR object-X OR object-X) AND NOT object-X) OR object-X) AND NOT scene),((((case-X OR food-X OR patty-X OR island-X OR bread rolls-X OR breads-X OR fruit-X) AND NOT pedestal-X) OR meat-X) AND NOT kitchen-s),4.3
20,(((object OR part-X OR object-X OR scene OR object-X) CLOSE TO (((color OR object) AND NOT part-X) OR scene)) OR object),(((house OR roof-X OR swimming pool-X OR zen garden-s OR bowling alley-X) CLOSE TO (((black-c OR building) AND NOT roof-X) OR hunting lodge-outdoor-s)) OR pool),4.4
21,(((object-X OR object OR part-X OR object OR object-X OR object-X OR scene) AND NOT object-X) OR part),(((book-X OR bookcase OR garage door-X OR videos OR exhibitor-X OR stands-X OR fire station-s) AND NOT case-X) OR metal shutter),4.3
22,((((object-X OR object-X OR object OR scene) AND NOT object) OR object-X OR object-X OR object-X) AND NOT object-X),((((bridge-X OR river-X OR aqueduct OR rope bridge-s) AND NOT river) OR dam-X OR footbridge-X OR ice-X) AND NOT pier-X),5.4
23,(((((object-X OR object) CLOSE (object-X OR object-X)) OR object) CLOSE TO object & object) OR object OR object OR part-X),(((((stove-X OR oven) CLOSE (wall-X OR door-X)) OR telephone booth) CLOSE TO wall & cabinet) OR telephone booth OR microwave OR fire escape-X),5.2
24,((((object-X OR object-X OR object) AND NOT object-X) CLOSE ((((object-X AND NOT object) OR object) AND NOT object-X) OR object-X)) OR object-X),((((fireplace-X OR buffet-X OR pulpit) AND NOT windowpane-X) CLOSE ((((wall-X AND NOT wall) OR windowpane) AND NOT buffet-X) OR double door-X)) OR altar-X),6.8
25,(((object-X CLOSE TO (((scene OR object) AND NOT object-X) OR scene OR scene OR scene)) OR object OR part-X) AND NOT object-X),(((wall-X CLOSE TO (((corridor-s OR bathtub) AND NOT wall-X) OR closet-s OR sauna-s OR basement-s)) OR elevator OR fire escape-X) AND NOT wardrobe-X),5.0
26,(object-X OR object-X OR object-X OR object-X OR object OR object-X OR object-X OR part-X OR object-X OR object),(pillar-X OR aqueduct-X OR viaduct-X OR arcade-X OR bandstand OR water tower-X OR gravestone-X OR arcades-X OR mosque-X OR arch),4.1
27,(object OR part-X OR object-X OR object OR object OR object OR object OR object-X OR object-X OR object),(hovel OR wave-X OR viaduct-X OR tent OR aqueduct OR dam OR fountain OR controls-X OR ice-X OR dome),3.1
28,((((object CLOSE TO (object-X OR scene OR scene OR scene)) WITH color) OR object-X) CLOSE TO (color OR scene OR color)),((((building CLOSE TO (wall-X OR alley-s OR kasbah-s OR medina-s)) WITH brown-c) OR bidet-X) CLOSE TO (brown-c OR medina-s OR orange-c)),5.1
29,(((object OR object-X OR part) AND NOT scene) OR object),(((house OR porch-X OR balcony) AND NOT apartment building-outdoor-s) OR house),6.2
30,(((object-X AND scene) OR scene OR object-X OR scene OR object-X) CLOSE TO (((object-X AND NOT object) OR object) AND NOT object)),(((table-X AND dining room-s) OR balcony-interior-s OR windowpane-X OR dinette-home-s OR railing-X) CLOSE TO (((chair-X AND NOT chair) OR sea) AND NOT windowpane)),5.5
